Location,Z_bottom,H_min,H_max,Z_top,Length,Width
LH1,6.4,N/A,N/A,N/A,N/A,N/A
LH2,-3.72,N/A,N/A,N/A,N/A,N/A
LH3,-11.63,N/A,N/A,N/A,N/A,N/A
LH4,-20.62,N/A,N/A,N/A,N/A,N/A
LC,-20.62,-2.32,11.42,12.92,430,55
MC,-11.63,6.67,19.29,20.79,430,55
UC,-2.64,15.66,27.13,28.7,430,55
LB_Bot,-2.36,0.14,5.55,6.35,N/A,N/A
LB_Int,-0.2,2.3,6.86,7.66,N/A,N/A
LB_Top,1.76,4.26,8.33,9.13,N/A,N/A
MB_Bot,7.14,9.64,13.2,14,N/A,N/A
MB_Int,8.87,11.37,14.9,15.7,N/A,N/A
MB_Top,10.57,13.07,16.63,17.43,N/A,N/A
UB_Bot,15.6,18.1,21.88,22.68,N/A,N/A
UB_Int,17.26,19.76,23.63,24.43,N/A,N/A
UB_Top,18.91,21.41,25.38,26.18,N/A,N/A
