Num,TS_LocksReady,TS_LockageStarts,Direction,transitTimeLH1,transitTimeLH2,transitTimeLH3,transitTimeLH4,equalzTimeUC,equalzTimeMC,equalzTimeLC,WSBasins,UCWSBs,MCWSBs,LCWSBs,Chamber_Length,Ship_Vol_Disp,Ocean_Salinity,Ocean_Level,Lake_Salinity,Lake_Level
1,01/01/2050 0:00,01/01/2050 0:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
2,01/01/2050 2:00,01/01/2050 2:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
3,01/01/2050 4:00,01/01/2050 4:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
4,01/01/2050 6:00,01/01/2050 6:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
5,01/01/2050 8:00,01/01/2050 8:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
6,01/01/2050 10:00,01/01/2050 10:00,Uplockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
7,01/01/2050 12:00,01/01/2050 12:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
8,01/01/2050 14:00,01/01/2050 14:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
9,01/01/2050 16:00,01/01/2050 16:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
10,01/01/2050 18:00,01/01/2050 18:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
11,01/01/2050 20:00,01/01/2050 20:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
12,01/01/2050 22:00,01/01/2050 22:00,Downlockage,23,23,23,23,12,12,12,0,0,0,0,510,120000,32,0,0.5,25
